"ng-binding","pbi src","st-ply href","st-ply-name","st-ply-tm-name","ng-binding 2","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-binding 11","ng-binding 12","np-ico src"
"65","https://scores.iplt20.com/ipl/playerimages/Azmatullah%20Omarzai.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/20685","Azmatullah Omarzai","GT","4","7","7","21.0","186","27/2","46.50","8.85","31.50","0","0","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"66","https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/964","Marcus Stoinis","LSG","4","14","7","14.0","126","3/1","31.50","9.00","21.00","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"67","https://scores.iplt20.com/ipl/playerimages/Spencer%20Johnson.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/20699","Spencer Johnson","GT","4","5","5","16.0","151","25/2","37.75","9.43","24.00","0","0","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"68","https://scores.iplt20.com/ipl/playerimages/Vyshak%20Vijaykumar.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/1097","Vyshak Vijaykumar","RCB","4","4","4","14.3","142","23/2","35.50","9.79","21.75","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"69","https://scores.iplt20.com/ipl/playerimages/Reece%20Topley.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5607","Reece Topley","RCB","4","4","4","15.0","168","27/2","42.00","11.20","22.50","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"70","https://scores.iplt20.com/ipl/playerimages/Josh%20Little.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/5683","Josh Little","GT","4","1","1","4.0","45","45/4","11.25","11.25","6.00","1","0","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"71","https://scores.iplt20.com/ipl/playerimages/Liam%20Livingstone.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/3644","Liam Livingstone","PBKS","3","7","4","12.0","84","19/2","28.00","7.00","24.00","0","0","https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1"
"72","https://scores.iplt20.com/ipl/playerimages/Tristan%20Stubbs.png?v=1","https://www.iplt20.com/teams/delhi-capitals/squad-details/20631","Tristan Stubbs","DC","3","14","2","2.0","15","11/2","5.00","7.50","4.00","0","0","https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1"
"73","https://scores.iplt20.com/ipl/playerimages/Darshan%20Nalkande.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/4447","Darshan Nalkande","GT","3","3","3","4.5","45","21/2","15.00","9.31","9.66","0","0","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"74","https://scores.iplt20.com/ipl/playerimages/Shreyas%20Gopal.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/20696","Shreyas Gopal","MI","3","3","3","7.0","67","9/1","22.33","9.57","14.00","0","0","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"75","https://scores.iplt20.com/ipl/playerimages/Nitish%20Kumar%20Reddy.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/5711","Nitish Kumar Reddy","SRH","3","13","7","13.1","153","17/2","51.00","11.62","26.33","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"76","https://scores.iplt20.com/ipl/playerimages/Keshav%20Maharaj.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/20726","Keshav Maharaj","RR","2","2","2","6.0","39","23/2","19.50","6.50","18.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
"77","https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/1903","Mitchell Santner","CSK","2","3","3","9.0","64","10/1","32.00","7.11","27.00","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"78","https://scores.iplt20.com/ipl/playerimages/Maheesh%20Theekshana.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/20570","Maheesh Theekshana","CSK","2","5","5","20.0","144","27/1","72.00","7.20","60.00","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"79","https://scores.iplt20.com/ipl/playerimages/Abhishek%20Sharma.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3760","Abhishek Sharma","SRH","2","16","4","7.0","51","24/2","25.50","7.28","21.00","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"80","https://scores.iplt20.com/ipl/playerimages/Mohammad%20Nabi.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/618","Mohammad Nabi","MI","2","7","6","12.2","109","16/1","54.50","8.83","37.00","0","0","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"81","https://scores.iplt20.com/ipl/playerimages/Moeen%20Ali.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/1735","Moeen Ali","CSK","2","8","4","8.0","71","23/2","35.50","8.87","24.00","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"82","https://scores.iplt20.com/ipl/playerimages/Vidwath%20Kaverappa.png?v=1","https://www.iplt20.com/teams/punjab-kings/squad-details/5656","Vidwath Kaverappa","PBKS","2","1","1","4.0","36","36/2","18.00","9.00","12.00","0","0","https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1"
"83","https://scores.iplt20.com/ipl/playerimages/Will%20Jacks.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5629","Will Jacks","RCB","2","8","5","9.0","100","23/1","50.00","11.11","27.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
